Section,Item,Statement,Guidance,Importance,Score,Response: ISO 27001,Response: DEA Security,Response: DEA Capability,
Computing technology and Information Security,2.5.5.,You should test your incident response through simulation.,"During simulated incidents the TRE organisation can measure their effectiveness.
This may involve people across the broader enterprise and/or external suppliers.",Recommended,2,"A5.30: ICT readiness for business continuity. ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.","N-1: There are business continuity and disaster recovery plans in place. Copies of BC and DR plans.

N-2: The plans are tested on a periodic basis to ensure they remain up to date and fit for purpose, with tests being analysed afterwards for lessons learned. Evidence of tests being planned and carried out. Minutes of relevant discussions. Analysis and report documents. 

N-3: Business continuity and disaster recovery plans are communicated / made available to staff. Copies of staff communications and guidance. 

N-4: Where cloud infrastructure is in use, the organisation has documented consideration of fail over processes for data centre failure, and has considered the geography of where the data may reside in the event of an outage. Evidence of consideration, evidence of planned fail over locations. ",,
Computing technology and Information Security,2.5.6.,You should have an application in place to scan for vulnerabilities across infrastructure.,"Software used to identify vulnerabilities should also report and alert.
Such an alert should be triaged, risk assessed and treated accordingly.",Recommended,2,,"I-6: The organisation maintains an awareness of possible threats and acts swiftly to implement corrective measures. Evidence of research, horizon scanning, or other awareness activities. Emails or minutes of team discussions showing horizon scanning. ",,
Computing technology and Information Security,2.5.7.,You must have a process in place for applying security updates to all software that forms part of the TRE infrastructure.,"This includes any software used for remote desktop portals, databases, webapps, creating and destroying compute infrastructure, configuration management, or software used for monitoring the TRE.",Mandatory,2,A8.32: Change management: Changes to information processing facilities and information systems shall be subject to change management procedures.,"K-6: Effective change control practices are utilised in the role out of new or updated software, including the appropriate use of test environments, and the documentation of rollback plans. Copies of change control policies, procedures, or guidance. Copies of rollback plans. Documentation of development, test, live segregation. ",,
Computing technology and Information Security,2.5.8.,Infrastructure should be automatically patched for vulnerabilities.,"Planning will be required across infrastructure and software systems to ensure security patches remain available from suppliers.
Many systems may be isolated from the internet making TRE infrastructure more difficult to automatically patch.",Recommended,2,A8.7: Protection against malware. Protection against malware shall be implemented and supported by appropriate user awareness.,"I-3: Anti-virus and anti-malware software is in use on all relevant systems, and is kept up to date. Site Visit. Screenshots of anti-virus/anti malware dashboards. Internal audit or assurance reports related to this software. Relevant incident logs. 

K-4: Patch management practices are established, documented, and effective. Documented policy and procedures. Where this is outsourced, copy of the contract and any documented SLAs. ",,
Computing technology and Information Security,2.5.9.,You should carry out penetration tests on your TRE.,"By intentionally attempting to breach their TRE, organisations can proactively discover unnoticed vulnerabilities before they are exploited maliciously.
Tests can evaluate the effectiveness of security controls in preventing data breaches, unauthorised access, or other security incidents.",Recommended,2,"A5.35: Independent review of information security. The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.",,,
Computing technology and Information Security,2.5.10.,You should update the security controls of your TRE based on the results of security tests.,"Security testing can reveal bugs and discrepancies in the TRE architecture which should be addressed in advance of sensitive data being uploaded, or with urgency in the case of an operational TRE.
Regular testing will allow organisations to refine their TRE security controls and incident response capabilities.
It enables them to adapt to any new security concerns that may arise as a result of changes in the underlying software.",Recommended,1,,,,
Computing technology and Information Security,2.5.11.,"You should publish details of your security testing strategy and, where possible, the results of each test.","Knowledge that regular security testing occurs will help to ensure stakeholders, including data consumers and information asset owners, can trust that the data they work with or are responsible for is secure within a TRE.
If security flaws are identified in a test, it may not be sensible to publicise these until a fix is in place.",Recommended,0,,,,
Computing technology and Information Security,2.5.12.,Your TRE must encrypt project and user data at rest.,"This prevents unauthorised access to the data even if the storage media is compromised.
This may involve encrypted filesystems or tools to encrypt and decrypt data on demand.
The encryption keys may be managed by the TRE operator or by a trusted external actor, for example a cloud provider.",Mandatory,2,"A8.24: Use of cryptography. Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented.

A5.34: Privacy and protection of personal identifiable information (PII). The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.","G-1: An effective policy is in place on the use of cryptographic controls for the protection of information, incorporating the use, protection and lifetime of cryptographic keys through the whole lifecycle. This policy has been documented, appropriately authorised, and is subject to periodic reviews. Evidence the organisation has a policy and processes covering the use and management of cryptographic controls.",,
Computing technology and Information Security,2.5.13.,Your TRE must encrypt data when in transit between the TRE and external networks or computers.,"Data encryption must be used to safeguard against interception or tampering during transmission.
This includes both data ingress and egress and users accessing the TRE, for example over a remote desktop or shell session.",Mandatory,2,"A8.24: Use of cryptography. Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented.

A5.34: Privacy and protection of personal identifiable information (PII). The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.","G-1: An effective policy is in place on the use of cryptographic controls for the protection of information, incorporating the use, protection and lifetime of cryptographic keys through the whole lifecycle. This policy has been documented, appropriately authorised, and is subject to periodic reviews. Evidence the organisation has a policy and processes covering the use and management of cryptographic controls.",,
Computing technology and Information Security,2.5.14.,Your TRE should encrypt data when in transit inside the TRE.,"If possible, data transfers between different components of a TRE should also be encrypted.",Recommended,2,"A8.24: Use of cryptography. Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented.

A5.34: Privacy and protection of personal identifiable information (PII). The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.","G-1: An effective policy is in place on the use of cryptographic controls for the protection of information, incorporating the use, protection and lifetime of cryptographic keys through the whole lifecycle. This policy has been documented, appropriately authorised, and is subject to periodic reviews. Evidence the organisation has a policy and processes covering the use and management of cryptographic controls.","Partly covered by 
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code in the environment.",
Computing technology and Information Security,2.5.15.,You should use encryption algorithms and software that are widely accepted as secure.,"Encryption algorithms widely accepted as secure today may become insecure in the future, for instance due to newly-identified flaws, or advances in compute capabilities.
The latest security patches and updates should be applied to any encryption software being used by the TRE.
This helps address any known vulnerabilities or weaknesses in the encryption implementation.",Recommended,2,"A8.24: Use of cryptography. Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented.

A5.34: Privacy and protection of personal identifiable information (PII). The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.","G-1: An effective policy is in place on the use of cryptographic controls for the protection of information, incorporating the use, protection and lifetime of cryptographic keys through the whole lifecycle. This policy has been documented, appropriately authorised, and is subject to periodic reviews. Evidence the organisation has a policy and processes covering the use and management of cryptographic controls.","C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code",
Computing technology and Information Security,2.5.16.,Your TRE should use secure key management.,"TREs should employ secure key management practices, including storing encryption keys separately from the encrypted data and implementing strong access controls (*e.g.* Single Sign On) for key management systems.",Recommended,2,"A5.34: Privacy and protection of personal identifiable information (PII). The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.

A8.24: Use of cryptography. Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented.
","G-1: An effective policy is in place on the use of cryptographic controls for the protection of information, incorporating the use, protection and lifetime of cryptographic keys through the whole lifecycle. This policy has been documented, appropriately authorised, and is subject to periodic reviews. Evidence the organisation has a policy and processes covering the use and management of cryptographic controls.",,
Computing technology and Information Security,2.5.17.,Your TRE could offer physical protection measures against data leakage or theft via physical means.,"Restricting access to research facilities containing computers logged into TREs can help prevent malicious actors from viewing or stealing sensitive data, for example by photographing a computer screen.
Physical controls on access to a TRE could include surveillance systems, restricting physical access to authorised personnel only, visitor management systems and employee training.",Optional,2,"A7.1: Physical security perimeters. Security perimeters shall be defined and used to protect areas that contain information and other associated assets.

A7.2: Physical entry. Secure areas shall be protected by appropriate entry controls and access points.

A7.3: Securing offices, rooms and facilities. Physical security for offices, rooms and facilities shall be designed and implemented.

A7.4: Physical security monitoring. Premises shall be continuously monitored for unauthorized physical access.

A7.5: Protecting against physical and environmental threats. Protecting against physical and environmental threats.

A7.6: Working in secure areas. Security measures for working in secure areas shall be designed and implemented.

A7.7: Clear desk and clear screen. Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.
","H-1: Secure areas (areas that contain either sensitive or critical information) are protected by appropriate entry controls to ensure that only authorised personnel are allowed access.

H-2: Regular risk assessments and testing are undertaken to provide assurances that effective physical security controls are in place.

H-3: Granting of physical entry / access rights is controlled, and those rights are reviewed on a regular basis to ensure that only authorised personnel are allowed access.

H-4: Protection has been implemented against external and environmental threats in secure areas such as server rooms.

H-5: Office equipment is sited and protected to reduce the risks from environmental threats and opportunities for unauthorised access.

H-6: A clear desk policy is in operation across the organisation where personal data is processed.

H-7: 'There is a 'clear screen' policy in operation across the organisation where personal data is processed.",,
Computing technology and Information Security,2.5.18.,Your TRE may need to comply with specific regulatory requirements due to the types of data it is hosting.,"Regulatory frameworks often emphasise the need for security controls to protect sensitive data.
Compliance with these regulations could require organisations to implement specific security measures to safeguard their TRE from unauthorised access.",Mandatory,2,"A5.31: Legal, statutory, regulatory and contractual requirements. Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date.","A-1: An applicant must be a 'fit and proper person' to be involved in processing before they can be accredited as a processor. Provide evidence to confirm they have sufficient skills, experience, technical infrastructure and policies in place to demonstrate they are a fit and proper person. Demonstrate a record of appropriate compliance with UK laws, in particular laws relevant to processing activities and the use of data.

A-2: Applicants are legally accountable for the work they carry out under relevant legislation. Only processors subject to UK legal jurisdiction are eligible for accreditation. Confirm and evidence that all processing is performed subject to relevant UK legislation.   

O-1: The applicant has identified and recorded any legal, statutory, and regulatory codes they are required to comply with.

O-4: The organisation's privacy information is fully compliant with the requirements of UKGDPR.","Implicitly covered by 
 C.2.1. Maintain clear and consistent records of legal agreements that outline how data is accessed, processed, and used in the environment.
 
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code in the environment.",
Data management,3.1.1.,You must have processes in place to assess the legal and regulatory implications of handling the data through its full lifecycle.,"This involves considering your obligations to data controllers and subjects, and whether any security controls may be legally or contractually required.
An assessment of the risks involved will also be needed.
It may involve classifying the project into a predefined sensitivity category or defining bespoke controls.",Mandatory,2,"A.5.31 – Compliance with legal, statutory, regulatory and contractual requirements

The organisation shall identify and document applicable legal, statutory, regulatory and contractual requirements related to information security and keep this up to date
",,"C.2.1. Maintain clear and consistent records of legal agreements that outline how data is accessed, processed, and used in the environment.",
Data management,3.1.2.,You should keep records of data handling decisions.,Decisions that are made as part of the process discussed above should be recorded and made available for inspection by all stakeholders.,Recommended,1,,,,
Data management,3.1.3.,Information asset owners must classify data sets according to a common process and data classification methodology.,"To classify the data, information asset owners must have a good understanding of the datasets and the process of classification.
Once classified, data can be stored in a TRE with an appropriate security controls (see later section on security levels and tiering), which can factor in the requirements for confidentiality, integrity and availability of the data.",Mandatory,2,"A5.12: Classification of information. Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.

A5.13: Labelling of information. An appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.","E-1: Hardware, software, and data assets have been identified, documented and classified. Asset logs, inventories, registers, etc.

E-2: Hardware, software, and data asset registers/inventories are subject to periodic risk assessment. Copies of risk assessments, risk management policy or procedure. ","Partly covered by:
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code in the environment.",
Data management,3.1.4.,You must have a data ingress process which enforces information governance rules/processes.,"The data ingress process needs to ensure that information governance is correctly followed.
In particular, it should require that an ingress request has been approved by all required parties.",Mandatory,2,,,"Implicitly covered by:
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code 
 in the environment. 
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.1.5.,You must have a data egress process which enforces information governance rules/processes.,"The data egress process needs to ensure that information governance requirements are adhered to.
In particular, it should require that an egress request has been approved by all required parties.",Mandatory,2,,,"Implicitly covered by:
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code 
 in the environment. 
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.1.6.,Egress must be limited to the information asset owners or their delegates.,"Egress of data from a TRE must be a specific permission associated with individual users
This permission must be given by information asset owners.
Egress may still require further approval (see 3.1.5).",Mandatory,2,,,"Implicitly covered by:
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code 
 in the environment. 
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.1.7.,Your data egress process could sometimes require project-independent approval.,"There may be cases where there are multiple stakeholders for a piece of analysis including information asset owners, data analysts, data subjects, the TRE operator.
A data egress process may then require approval from people not on the project team, for example an external referee or TRE operator representative",Optional,2,,,"Partly covered by:
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code 
 in the environment. 
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.1.8.,You must keep a record of what data your TRE holds.,"Good records are important for ensuring compliance with legislation, understanding risk and aiding good data hygiene.
The record should include a description of the data, its source, contact details for the data owner, which projects use the data, the date it was received, when it is expected to no longer be needed.",Mandatory,2,,,"C.2.7: Clear records of all data in the environment. This includes open data, geography lookups and data extracts.
 
 C.5.4. Share records of the data available in the processors’ environment under the 
 DEA. (with the UK Statistics Authority as the accrediting body)",
Data management,3.1.9.,You must have a policy on data deletion.,"There should be a clear, published policy on when data will be retained or deleted.
This may allow time for data owners to consider outputs they may want to extract from the TRE.
Any sensitive data, including all backups, should be deleted when they are no longer needed.
Having clear policies will help to avoid problems with data being kept longer than necessary or accidental deletion of outputs.",Mandatory,2,"A8.10: Information Deletion. Information stored in information systems, devices or in any other storage media shall be deleted when no longer required.",,"C.2.6: Policies and evidenced procedures for the retention of all different data instances.
 
 C.2.2: Evidenced and appropriate procedures to manage data, metadata, and code in the environment.",
Data management,3.1.10.,You should have a method of providing proof of deletion/removal of files.,"Information asset owners may require certification of the deletion of files.
You should have a method of providing proof of deletion if challenged.",Recommended,2,,,"Implicitly covered by:
 C.2.6: Policies and evidenced procedures for the retention of all different data instances",
Data management,3.1.11.,You should log how input data is modified.,"If the input data is mutable a TRE should keep records of its modification.
For example, when the data was modified and by who.",Recommended,1,,,"Implicitly covered by:
 C.2.7. Clear records of all data in the environment. This includes open data, geography lookups and data extracts.",
Data management,3.1.12.,"You must, to a reasonable extent, prevent unauthorised data ingress or egress.","Movement of data which has not been subject to information governance processes risks breaking rules and is more likely to result in a data breach.
However, it is difficult to control for every possibility.
For example, a user may take pictures of their computer screen to remove data, or use a device presenting as a USB HID keyboard to input large amounts of text.
An example of a reasonable measure would be for a remote desktop based TRE to prevent data being copied from a local machine’s clipboard to a workspace.",Mandatory,2,"A5.15: Access control. Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.

A5.14: Information transfer. Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.

A5.33: Protection of records. Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.

A8.1: User endpoint devices. Information stored on, processed by or accessible via user end point devices shall be protected.","E-6: Media containing information is protected against unauthorised access, misuse or corruption during transportation.

E-7: There are endpoint (port) controls in place to prevent unauthorised use of removeable media or the upload or download of unauthorised information.

E-8: Removeable media is disposed of securely when no longer required, using formal procedures.

F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. 

F-8: Processes are in place to ensure that default passwords are changed, and to control the use of shared passwords. Evidence of default passwords being changed. Rules regarding the sharing of passwords. 

J-1: Formal transfer policies, procedures and controls are in place across all communication facilities, including electronic messaging. 

","C.2.2: Evidenced and appropriate procedures to manage data, metadata, and code in the environment.
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.1.13.,Data held within the TRE should be the minimum required for analysis or research.,"Data stored and processed within the TRE should be limited to the amount required for that purpose.
This increases the level of protection for data subjects, makes it easier to comply with data protection legislation and could reduce the overhead of storage and processing.",Recommended,2,,,C.2.10: Auditable systems and practices to ensure that access to proportionate data provided (data minimisation).,
Data management,3.2.1.,You must not create user accounts for use by more than one person.,"It is important that each user account should be used by one, and only one, person in order to facilitate the assignment of roles or permissions and to log the actions of individuals.",Mandatory,2,"A5.15: Access control. Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.

A5.14: Information transfer. Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.

A5.33: Protection of records. Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. ","Implicitly covered by :
 C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.",
Data management,3.2.2.,You must be reasonably convinced of the identity of each person being granted an account.,"It is important to ensure an account has been given to the correct person.
For example, multiple credentials may be used before account creation to verify identity or, when appropriate, photo ID checks may be required.",Mandatory,2,"A5.15: Access control. Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.

A5.14: Information transfer. Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.

A5.33: Protection of records. Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.

","F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. ",C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.,
Data management,3.2.3.,You must restrict a user’s access to only data required in their work.,"There is no need to grant an individual access to data they do not require.
Access may be assigned in a manner appropriate to a TREs design, for example through roles granted to user accounts or through isolated project workspaces.",Mandatory,2,"A5.15: Access control. Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.

A5.14: Information transfer. Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.

A5.33: Protection of records. Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.

A5.8: Information security in project management. Information security shall be integrated into project management.","F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. ","C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.2.10 Auditable systems and practices to ensure that access to proportionate data 
 provided (data minimisation)",
Data management,3.2.4.,You must ensure that multi-factor authentication is enabled for all users.,"Multi-factor authentication ensures that to successfully connect a user must have more than one piece of evidence in different categories.
Categories include something the user knows (*e.g.* a password), something the user possesses (*e.g.* a TOTP key) or something the user is (*e.g.* biometric data).
A TRE does not need to implement multi-factor authentication checks itself if it is provided by a third-party identity provider.",Mandatory,2,"A5.15: Access control. Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.

A5.14: Information transfer. Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.

A5.33: Protection of records. Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. ",,
Data management,3.2.5.,You could use federated authentication or single sign-on (SSO) for user login.,"Institutions that use a SSO for other applications may wish to extend this login capability to a TRE.
This will simplify the login process for data consumers using a TRE and prevent them having to remember or store multiple login credentials.",Optional,2,,"F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. ",,
Data management,3.2.6.,You could restrict access to particular networks or physical locations.,"Restricting access to a set of known, static, personal or institutional IP addresses can help avoid speculative attacks.
When appropriate, access could also be restricted to physical locations with security controls and access requirements.",Optional,1,,,,
Data management,3.3.1.,You should have a system to help classify outputs.,"Removing data from a TRE can be a difficult process as there is potential for sensitive data to be revealed.
Having guidance, processes and methods will help ensure that outputs are correctly classified and, furthermore, that outputs due to be openly published are identified.
Encouraging openly published outputs will enhance a TRE’s impact and transparency.",Recommended,1,,,,
Data management,3.3.2.,You should establish the intended outputs of each project from the outset.,"Identifying the purpose of a piece of work is important for compliance with data protection legislation.
Results will be produced which address the project’s purpose, some of which may be outputs that are removed from the TRE.
Understanding what these outputs are likely to be and their sensitivity as early as possible will help prepare for their processing and publication.",Recommended,2,,,"C.1.1. Maintain sufficiently detailed records, including any accreditation conditions, 
 of all projects in the processor’s environment.",
Data management,3.3.3.,You must have a documented process for disclosure control of outputs from the TRE.,"This process should define expected risks and how to mitigate them.
All TRE outputs must be subject to this process.
You might choose to follow existing guidelines, for example around statistical disclosure.",Mandatory,2,A5.37: Documented operating procedures. Operating procedures for information processing facilities shall be documented and made available to personnel who need them.,,"C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code 
 in the environment. 
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.3.4.,You must have a process for assigning responsibility for output checking.,"Output checkers should be given responsibility for checking outputs.
They must follow your disclosure control process and will be responsible for any automated parts of this process.
Output checking can help mitigate against unintentional data disclosure or leaks.",Mandatory,2,A5.37: Documented operating procedures. Operating procedures for information processing facilities shall be documented and made available to personnel who need them.,,"C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code 
 in the environment. 
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.3.5.,You must have a documented policy for handling disclosure risks associated with any outputs that cannot be manually checked.,"Some categories of output, for instance binary files or very large numeric files, can be difficult to manually check.
If egress of such files is permitted then the risks of inadvertent disclosure must be mitigated and documented.
Refusing to allow egress of such files is also a valid policy decision.",Mandatory,2,A5.37: Documented operating procedures. Operating procedures for information processing facilities shall be documented and made available to personnel who need them.,,"Implicitly covered by
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code 
 in the environment. 
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.3.6,You should have a statistical basis to guide the decisions of an output checker on the safety of outputs.,There should be a solid basis to allow decisions to be made about data based on risk factors such as re-identification of an individual or risk to commercial operations posed by outputs from the TRE.,Recommended,2,,,"Implicitly covered by:
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.3.7,You could create a semi-automated system for checks on common research outputs.,"Automation helps make decisions on outputs more consistent and reduces the overhead for output checkers.
It’s unlikely however that a fully automated output checking system (without humans in the loop) would be appropriate, given the risks associated with accidental data disclosure.",Optional,1,,,"Implicitly covered by
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
Data management,3.3.8.,TRE outputs should be limited to the minimum required for sharing results of any analyses.,"This decreases the risk of inadvertent disclosure, and makes it easier to comply with data protection legislation (e.g. GDPR).",Recommended,2,,,"Implicitly covered by
 C.2.2: Evidenced and appropriate procedures to manage data, metadata, and code in the environment.
 
 C.2.4: Policies and procedures in place and tested to safeguard the confidentiality of data subjects in outputs.",
